repo,stars,created_at,age_years,merged_prs
MonitorControl/MonitorControl,34039,2017-09-16T21:13:40Z,8.94,223
chenfei-wu/TaskMatrix,34003,2023-03-02T09:04:28Z,3.49,21
NginxProxyManager/nginx-proxy-manager,33996,2017-12-20T23:01:16Z,8.68,750
pcottle/learnGitBranching,33952,2012-08-13T22:36:09Z,14.03,698
atlassian/react-beautiful-dnd,33946,2017-08-09T03:37:15Z,9.05,531
lib-pku/libpku,33907,2018-11-22T13:33:06Z,7.76,22
carbon-language/carbon-lang,33871,2020-04-27T21:45:16Z,6.33,5690
explosion/spaCy,33849,2014-07-03T15:15:40Z,12.15,3604
TabbyML/tabby,33838,2023-03-16T09:18:01Z,3.45,3002
k3s-io/k3s,33828,2018-05-31T01:37:46Z,8.24,4871
halfrost/LeetCode-Go,33789,2017-07-18T00:06:14Z,9.11,182
SerenityOS/serenity,33783,2018-12-02T19:28:41Z,7.73,20176
binwiederhier/ntfy,33775,2021-10-23T19:25:32Z,4.84,422
langfuse/langfuse,33767,2023-05-18T17:47:09Z,3.27,7766
mli/paper-reading,33735,2021-10-22T06:34:51Z,4.84,15
valinet/ExplorerPatcher,33721,2021-08-09T14:17:24Z,5.05,24
Pythagora-io/gpt-pilot,33685,2023-08-16T11:56:07Z,3.03,397
alibaba/easyexcel,33663,2018-02-06T03:14:08Z,8.55,190
anoma/anoma,33638,2021-02-02T10:00:16Z,5.56,898
Blankj/AndroidUtilCode,33633,2016-07-30T18:18:32Z,10.07,88
